epoch,loss,data_loss,pde_loss,loss_E_bc,loss_dE_bc
96,1.8008161783218384,0.20826345682144165,1.8008126020431519,1.7566578747185702e-10,3.5426987778919283e-06
97,1.570357084274292,0.20560787618160248,1.5703539848327637,1.6900997268365359e-10,3.1486758871324128e-06
98,1.6690104007720947,0.2039421796798706,1.6690075397491455,1.5649059825761924e-10,2.8762096917489544e-06
99,1.2883039712905884,0.20548193156719208,1.2883002758026123,1.798203252967312e-10,3.6757301131729037e-06
100,1.4675800800323486,0.2071273922920227,1.467578411102295,1.2553723338637468e-10,1.7125782960647484e-06
101,1.2875727415084839,0.20298565924167633,1.287569522857666,1.8709704618924405e-10,3.2461059618071886e-06
102,1.1905405521392822,0.20872068405151367,1.190538763999939,1.6269975644522816e-10,1.76899391135521e-06
103,1.2927167415618896,0.20564305782318115,1.292715072631836,1.106075231405157e-10,1.6842187733345781e-06
104,1.1379907131195068,0.21003276109695435,1.1379890441894531,1.7497198134819314e-10,1.6843463299665018e-06
105,1.2549755573272705,0.2108694314956665,1.25497305393219,1.222367485009812e-10,2.500683876860421e-06
106,0.9762606620788574,0.20693087577819824,0.9762581586837769,1.1935427646214691e-10,2.4965488591988105e-06
107,1.0304051637649536,0.2039431929588318,1.0304040908813477,1.0815009304776524e-10,1.0300104804628063e-06
108,0.9277151226997375,0.20909889042377472,0.9277119636535645,1.642830455006461e-10,3.1872255021880846e-06
109,0.9802190661430359,0.20589907467365265,0.9802167415618896,1.0968000119238042e-10,2.3170694021246163e-06
110,0.9504646062850952,0.2116284966468811,0.9504620432853699,1.1741967120837415e-10,2.5649776489444776e-06
111,0.9201037883758545,0.20788919925689697,0.9201021194458008,1.2377830704846104e-10,1.6768208297435194e-06
112,0.8130221366882324,0.20671965181827545,0.8130199909210205,1.0335282629725384e-10,2.154542698917794e-06
113,0.7999242544174194,0.2062128335237503,0.7999216318130493,1.5126391805786454e-10,2.621016392367892e-06
114,0.7850008010864258,0.20768791437149048,0.7849984169006348,1.4758978761353347e-10,2.3886027520347852e-06
115,0.6807260513305664,0.21220916509628296,0.6807234287261963,8.879147417317768e-11,2.632794576129527e-06
116,0.66209477186203,0.20598214864730835,0.6620908975601196,1.697402635114642e-10,3.900351657648571e-06
117,0.6193982362747192,0.20772011578083038,0.61939537525177,1.6578720340998387e-10,2.8686840778391343e-06
118,0.5751889944076538,0.20507599413394928,0.5751869082450867,1.6419766935005242e-10,2.1037765236542327e-06
119,0.5554115772247314,0.20559562742710114,0.5554097890853882,1.0261227978425325e-10,1.7875870526040671e-06
120,0.585360586643219,0.20615637302398682,0.5853577852249146,1.2318017439394424e-10,2.7939775009144796e-06
121,0.45529410243034363,0.20932024717330933,0.455292671918869,8.613466884188625e-11,1.4257414022722514e-06
122,0.4693939685821533,0.20839209854602814,0.4693915545940399,9.12996345192596e-11,2.4270295853057178e-06
123,0.42219477891921997,0.20984917879104614,0.4221912920475006,1.2261294757287544e-10,3.4901029266620753e-06
124,0.45774924755096436,0.2060098648071289,0.4577469825744629,8.785646515852008e-11,2.268307525810087e-06
125,0.4021262228488922,0.20574937760829926,0.4021227955818176,1.2609617516812222e-10,3.441958142502699e-06
126,0.36589276790618896,0.20522916316986084,0.36588990688323975,1.2237483248966896e-10,2.8555537028296385e-06
127,0.35656166076660156,0.2071215957403183,0.3565593361854553,1.0688921969759235e-10,2.3313266410696087e-06
128,0.385484904050827,0.207483172416687,0.385480672121048,1.7248819039750174e-10,4.221674771542894e-06
129,0.30897077918052673,0.2050601691007614,0.3089686632156372,1.1451858905608958e-10,2.126766275978298e-06
130,0.32876822352409363,0.20280034840106964,0.32876643538475037,8.489941388800659e-11,1.7962295260076644e-06
131,0.3121623694896698,0.20461682975292206,0.3121592104434967,1.587013576109797e-10,3.169840510963695e-06
132,0.2929493188858032,0.2064654678106308,0.29294726252555847,1.0487390816882325e-10,2.0626778223231668e-06
133,0.2516843378543854,0.21110858023166656,0.251679927110672,1.5487330862207216e-10,4.4009257180732675e-06
134,0.29513049125671387,0.20730620622634888,0.2951276898384094,1.5062259772768982e-10,2.8023996492265724e-06
135,0.2805576026439667,0.20635360479354858,0.2805553674697876,8.891563180180029e-11,2.249314093205612e-06
136,0.22878387570381165,0.20903687179088593,0.22878286242485046,8.41757427649803e-11,1.0167617574552423e-06
137,0.23943087458610535,0.20048409700393677,0.23942875862121582,1.0097976621548099e-10,2.112432866852032e-06
138,0.2306712120771408,0.20446346700191498,0.23066839575767517,1.0932357796811232e-10,2.8186498184368247e-06
139,0.20602130889892578,0.20581214129924774,0.20601777732372284,1.2122881865028745e-10,3.5336972814548062e-06
140,0.2132481038570404,0.20536398887634277,0.2132459282875061,8.373313153953177e-11,2.182576508857892e-06
141,0.2056197226047516,0.20281387865543365,0.20561614632606506,1.4267645398469142e-10,3.5712057524506235e-06
142,0.1832360476255417,0.20574919879436493,0.18323273956775665,1.442695685138773e-10,3.3013370739354286e-06
143,0.18737445771694183,0.20893515646457672,0.18737265467643738,1.0233796449155008e-10,1.8003420336754061e-06
144,0.16146600246429443,0.2038159966468811,0.1614634096622467,1.2332777854506816e-10,2.594618990769959e-06
145,0.17635326087474823,0.20467162132263184,0.17635154724121094,1.0751652346208118e-10,1.7123018096754095e-06
146,0.15918587148189545,0.21255894005298615,0.15918400883674622,1.245699376983822e-10,1.8653169036042527e-06
147,0.16423454880714417,0.20725081861019135,0.16423270106315613,1.4313931984144546e-10,1.845315068749187e-06
148,0.15095660090446472,0.20650528371334076,0.15095409750938416,1.3422535305451788e-10,2.4969772312033456e-06
149,0.1507580429315567,0.21148760616779327,0.15075621008872986,1.4574451367987962e-10,1.8322610912946402e-06
150,0.13683724403381348,0.20162661373615265,0.1368357539176941,9.238789594467889e-11,1.4885047221468994e-06
151,0.12986284494400024,0.20461131632328033,0.12986071407794952,1.4924719793363295e-10,2.1299399577401346e-06
152,0.1251380741596222,0.20129279792308807,0.1251356303691864,9.77296785165116e-11,2.439895979478024e-06
153,0.11425831913948059,0.20424290001392365,0.11425665766000748,1.1058138432717968e-10,1.6636480495435535e-06
154,0.11246037483215332,0.2049158215522766,0.11245763301849365,1.331062204901201e-10,2.7387513910070993e-06
155,0.10824146866798401,0.2119462937116623,0.10824015736579895,8.069696993961983e-11,1.3096449720251258e-06
156,0.10211251676082611,0.20907467603683472,0.10211122035980225,7.734710788520616e-11,1.2958556681041955e-06
157,0.10893820226192474,0.20579010248184204,0.10893604159355164,9.783525378725955e-11,2.1629948605550453e-06
158,0.11211084574460983,0.20182548463344574,0.11210960149765015,8.919266020201988e-11,1.247789782610198e-06
159,0.09117881953716278,0.2044053077697754,0.09117763489484787,1.2556077011449673e-10,1.1829868071799865e-06
160,0.1139913871884346,0.20085422694683075,0.11398862302303314,8.664890333021091e-11,2.764310465863673e-06
161,0.09534788876771927,0.20350413024425507,0.09534578025341034,9.50526740650659e-11,2.109565684804693e-06
162,0.09106075018644333,0.20444506406784058,0.09105818718671799,1.5487536253466772e-10,2.5662943698989693e-06
163,0.09735006839036942,0.2076064497232437,0.09734870493412018,7.900548965045218e-11,1.3610596170110512e-06
164,0.08587822318077087,0.20749324560165405,0.0858759731054306,1.1586098747073947e-10,2.248297732876381e-06
165,0.0870731994509697,0.20489619672298431,0.08707152307033539,1.0238801473327896e-10,1.673553128966887e-06
166,0.08340628445148468,0.20310525596141815,0.08340371400117874,1.3323900316386528e-10,2.571619006630499e-06
167,0.08963663876056671,0.20348010957241058,0.08963517844676971,9.148606872066978e-11,1.4602956071030349e-06
168,0.07505547255277634,0.20535217225551605,0.07505414634943008,7.599793017121215e-11,1.3297254781718948e-06
169,0.08187896013259888,0.20589561760425568,0.08187702298164368,1.299262503140497e-10,1.935405180120142e-06
170,0.07999631762504578,0.2061595767736435,0.07999284565448761,1.4802997716500954e-10,3.474204731901409e-06
171,0.07366114109754562,0.20687799155712128,0.07365918159484863,7.364774762264048e-11,1.960792360478081e-06
172,0.07478373497724533,0.20095092058181763,0.07478268444538116,1.2098894108802938e-10,1.0518258477532072e-06
173,0.07470749318599701,0.20906494557857513,0.0747055634856224,1.199997878842396e-10,1.932374289026484e-06
174,0.06754577159881592,0.20644928514957428,0.06754360347986221,1.3155097844386177e-10,2.1680905319954036e-06
175,0.06710977107286453,0.20980030298233032,0.06710834056138992,9.750359547533449e-11,1.4338344271891401e-06
176,0.07046965509653091,0.20719987154006958,0.0704672634601593,1.542534155962727e-10,2.392241185589228e-06
177,0.06668291985988617,0.2047378271818161,0.06668059527873993,1.2890749578886584e-10,2.3217392026708694e-06
178,0.0688725933432579,0.20658612251281738,0.06887117028236389,8.512096583146445e-11,1.4217505395208718e-06
